Parallax scrolling

https://docs.google.com/spreadsheets/d/18c70Uyh_W6WMdfgkTumhd1SnU5wqMkVV-JmKBuqUs6s/edit?usp=sharing

Hawkeye: https://youtu.be/D8HaeTB5qXQ
Morpheus: https://youtu.be/-ZTup3-iLg0
Tusari: https://youtu.be/JInmnryzons


Name			Type
SotB			Raster
SotB			Pre-scrolled charset
SotB			Sprite
SotB			Sprite split
C64anabalt		Sprite
C64anabalt		Pre-scrolled charset
Hawkeye2		Pre-scrolled charset
Hawkeye			Pre-scrolled charset
Firebird		Raster
Firebird		Sprite
Lost Robot 2	Raster
Lost Robot 2	Sprite
Army moves		Raster
Morpheus		Animated charset
Morpheus		Sprite
Tusari			Raster
Tusari			FLD
Zeta Wing 2		Animated charset
SEUCK Redux		Animated charset
Parallax		Animated charset

