addr: IO  ROM RAM
0000: --- --- -w-
0001: --- --- -w-
00a9: --- --- r--
00fc: --- --- rw-
00fd: --- --- rw-
00fe: --- --- rw-
00ff: --- --- rw-
01f4: --- --- r--
01f5: --- --- rw-
01f6: --- --- rw-
01f7: --- --- rw-
01f8: --- --- rw-
01f9: --- --- rw-
01fa: --- --- rw-
01fb: --- --- rw-
01fc: --- --- rw-
01fd: --- --- rw-
01fe: --- --- rw-
01ff: --- --- rw-
0400: --- --- rw-
049a: --- --- -w-
049b: --- --- -w-
0a04: --- --- r--
0a05: --- --- r--
0a06: --- --- r--
0a07: --- --- r--
0a1b: --- --- rw-
0a1c: --- --- rw-
0a1d: --- --- rw-
0a1e: --- --- rw-
0a1f: --- --- rw-
0a20: --- --- rw-
0a21: --- --- rw-
0a22: --- --- rw-
0a23: --- --- rw-
0a24: --- --- rw-
0a25: --- --- rw-
0a26: --- --- rw-
0a27: --- --- rw-
0a28: --- --- rw-
0a29: --- --- rw-
0a2a: --- --- rw-
0a2b: --- --- rw-
0a2c: --- --- rw-
0a2d: --- --- rw-
0a2e: --- --- rw-
0a2f: --- --- rw-
0a30: --- --- rw-
0a31: --- --- rw-
0a32: --- --- rw-
0a33: --- --- rw-
0a34: --- --- rw-
0a35: --- --- rw-
0a36: --- --- rw-
0a37: --- --- rw-
0a38: --- --- rw-
0a39: --- --- rw-
0a3a: --- --- rw-
0a3b: --- --- rw-
0a3c: --- --- rw-
0a3d: --- --- rw-
0a3e: --- --- rw-
0a3f: --- --- rw-
0a40: --- --- rw-
0a41: --- --- rw-
0a42: --- --- rw-
0a43: --- --- rw-
0a44: --- --- rw-
0a45: --- --- rw-
0a46: --- --- rw-
0a47: --- --- rw-
0a48: --- --- rw-
0a49: --- --- rw-
0a4a: --- --- rw-
0a4b: --- --- rw-
0a4c: --- --- rw-
0a4d: --- --- rw-
0a4e: --- --- rw-
0a4f: --- --- rw-
0a50: --- --- rw-
0a51: --- --- rw-
0a52: --- --- rw-
0a53: --- --- rw-
0a54: --- --- rw-
0a55: --- --- rw-
0a56: --- --- rw-
0a57: --- --- rw-
0a58: --- --- rw-
0a59: --- --- rw-
0a5a: --- --- rw-
0a5b: --- --- rw-
0a5c: --- --- rw-
0a5d: --- --- rw-
0a5e: --- --- rw-
0a5f: --- --- rw-
0a60: --- --- rw-
0a61: --- --- rw-
0a62: --- --- rw-
0a63: --- --- rw-
0a64: --- --- rw-
0a65: --- --- rw-
0a66: --- --- rw-
0a67: --- --- rw-
0a68: --- --- rw-
0a69: --- --- rw-
0a6a: --- --- rw-
0a6b: --- --- rw-
0a6c: --- --- rw-
0a6d: --- --- rw-
0a6e: --- --- rw-
0a6f: --- --- rw-
0a70: --- --- rw-
0a71: --- --- rw-
0a72: --- --- rw-
0a73: --- --- rw-
0a74: --- --- rw-
0a75: --- --- rw-
0a76: --- --- rw-
0a77: --- --- rw-
0a78: --- --- rw-
0a79: --- --- rw-
0a7a: --- --- rw-
0a7b: --- --- rw-
0a7c: --- --- rw-
0a7d: --- --- rw-
0a7e: --- --- rw-
0a7f: --- --- rw-
0a80: --- --- rw-
0a81: --- --- rw-
0a82: --- --- rw-
0a83: --- --- rw-
0a84: --- --- rw-
0a85: --- --- rw-
0a86: --- --- rw-
0a87: --- --- rw-
0a88: --- --- rw-
0a89: --- --- rw-
0a8a: --- --- rw-
0a8b: --- --- rw-
0a8c: --- --- rw-
0a8d: --- --- rw-
0a8e: --- --- rw-
0a8f: --- --- rw-
0a90: --- --- rw-
