addr: IO  ROM RAM
0401: --- --- --x
0404: --- --- --x
0407: --- --- --x
040a: --- --- --x
040c: --- --- --x
040e: --- --- --x
0411: --- --- --x
0412: --- --- --x
0415: --- --- --x
0418: --- --- --x
041b: --- --- --x
041d: --- --- --x
041f: --- --- --x
0421: --- --- --x
0424: --- --- --x
0425: --- --- --x
0428: --- --- --x
042b: --- --- --x
042e: --- --- --x
0430: --- --- --x
0433: --- --- --x
0435: --- --- --x
0436: --- --- --x
0439: --- --- --x
043b: --- --- --x
043e: --- --- --x
0440: --- --- --x
0443: --- --- --x
0444: --- --- --x
0447: --- --- --x
0449: --- --- --x
044b: --- --- --x
044d: --- --- --x
044f: --- --- --x
0452: --- --- --x
0454: --- --- --x
0457: --- --- --x
045a: --- --- --x
045c: --- --- --x
045f: --- --- --x
0461: --- --- --x
0464: --- --- --x
0466: --- --- --x
0469: --- --- --x
046c: --- --- --x
046e: --- --- --x
0470: --- --- --x
0472: --- --- --x
0474: --- --- --x
0477: --- --- --x
0479: --- --- --x
047b: --- --- --x
047d: --- --- --x
047e: --- --- --x
0480: --- --- --x
0482: --- --- --x
0484: --- --- --x
0486: --- --- --x
0487: --- --- --x
048a: --- --- --x
048d: --- --- --x
0490: --- --- --x
0493: --- --- --x
0495: --- --- --x
0497: --- --- --x
0499: --- --- --x
049c: --- --- --x
049f: --- --- --x
04a1: --- --- --x
04a3: --- --- --x
04a6: --- --- --x
04a8: --- --- --x
04ab: --- --- --x
04ad: --- --- --x
04b0: --- --- --x
04b3: --- --- --x
04b5: --- --- --x
04b8: --- --- --x
04bb: --- --- --x
04be: --- --- --x
04c3: --- --- --x
04c6: --- --- --x
04c8: --- --- --x
04ca: --- --- --x
04dc: --- --- --x
04df: --- --- --x
04e1: --- --- --x
04e3: --- --- --x
04e6: --- --- --x
04e8: --- --- --x
04eb: --- --- --x
04ed: --- --- --x
04f0: --- --- --x
04f1: --- --- --x
04f4: --- --- --x
04f6: --- --- --x
04f9: --- --- --x
04fb: --- --- --x
04fe: --- --- --x
0501: --- --- --x
0506: --- --- --x
0509: --- --- --x
050b: --- --- --x
050e: --- --- --x
0511: --- --- --x
0513: --- --- --x
0516: --- --- --x
0518: --- --- --x
051b: --- --- --x
051d: --- --- --x
0520: --- --- --x
0521: --- --- --x
0523: --- --- --x
0526: --- --- --x
0529: --- --- --x
052a: --- --- --x
052c: --- --- --x
052f: --- --- --x
0531: --- --- --x
0534: --- --- --x
0537: --- --- --x
0539: --- --- --x
053c: --- --- --x
053e: --- --- --x
0541: --- --- --x
0543: --- --- --x
0546: --- --- --x
0548: --- --- --x
054b: --- --- --x
054c: --- --- --x
054f: --- --- --x
0552: --- --- --x
0555: --- --- --x
0558: --- --- --x
055b: --- --- --x
055e: --- --- --x
0561: --- --- --x
0564: --- --- --x
0567: --- --- --x
0569: --- --- --x
056c: --- --- --x
056f: --- --- --x
0572: --- --- --x
0575: --- --- --x
0578: --- --- --x
057b: --- --- --x
057e: --- --- --x
0581: --- --- --x
0584: --- --- --x
0587: --- --- --x
058a: --- --- --x
058c: --- --- --x
058e: --- --- --x
0591: --- --- --x
0593: --- --- --x
0595: --- --- --x
0598: --- --- --x
05a4: --- --- --x
05a7: --- --- --x
05af: --- --- --x
05b1: --- --- --x
05b4: --- --- --x
05b5: --- --- --x
05b6: --- --- --x
05b8: --- --- --x
05bb: --- --- --x
05be: --- --- --x
05bf: --- --- --x
05c2: --- --- --x
05c5: --- --- --x
05c7: --- --- --x
05c9: --- --- --x
05cb: --- --- --x
05ce: --- --- --x
05d1: --- --- --x
05d4: --- --- --x
05d7: --- --- --x
05da: --- --- --x
05dc: --- --- --x
05de: --- --- --x
05e0: --- --- --x
05e2: --- --- --x
05e3: --- --- --x
05e5: --- --- --x
05e6: --- --- --x
05e9: --- --- --x
05ea: --- --- --x
05eb: --- --- --x
05ed: --- --- --x
05f0: --- --- --x
05f1: --- --- --x
05f3: --- --- --x
05f5: --- --- --x
05f8: --- --- --x
05f9: --- --- --x
05fb: --- --- --x
05fd: --- --- --x
05ff: --- --- --x
0602: --- --- --x
0604: --- --- --x
0607: --- --- --x
0609: --- --- --x
060c: --- --- --x
060f: --- --- --x
0610: --- --- --x
0612: --- --- --x
0615: --- --- --x
0617: --- --- --x
061a: --- --- --x
061b: --- --- --x
061d: --- --- --x
0620: --- --- --x
0622: --- --- --x
0625: --- --- --x
0627: --- --- --x
062a: --- --- --x
062c: --- --- --x
062e: --- --- --x
0630: --- --- --x
0631: --- --- --x
0634: --- --- --x
0637: --- --- --x
0638: --- --- --x
0639: --- --- --x
063a: --- --- --x
063c: --- --- --x
063f: --- --- --x
0642: --- --- --x
0643: --- --- --x
0644: --- --- --x
0646: --- --- --x
0649: --- --- --x
064c: --- --- --x
064f: --- --- --x
0652: --- --- --x
0658: --- --- --x
065a: --- --- --x
065c: --- --- --x
065f: --- --- --x
0660: --- --- --x
0662: --- --- --x
0665: --- --- --x
0666: --- --- --x
0668: --- --- --x
0669: --- --- --x
066a: --- --- --x
066d: --- --- --x
066e: --- --- --x
0670: --- --- --x
0673: --- --- --x
0675: --- --- --x
0677: --- --- --x
067a: --- --- --x
067c: --- --- --x
067f: --- --- --x
0681: --- --- --x
0682: --- --- --x
0683: --- --- --x
0684: --- --- --x
0686: --- --- --x
0689: --- --- --x
068b: --- --- --x
068e: --- --- --x
0690: --- --- --x
0693: --- --- --x
0694: --- --- --x
0696: --- --- --x
0697: --- --- --x
0698: --- --- --x
069a: --- --- --x
069c: --- --- --x
069d: --- --- --x
069e: --- --- --x
06a0: --- --- --x
06a2: --- --- --x
06a5: --- --- --x
06a6: --- --- --x
06a8: --- --- --x
06b0: --- --- --x
06b3: --- --- --x
06b4: --- --- --x
06b6: --- --- --x
06b8: --- --- --x
06ba: --- --- --x
06bd: --- --- --x
06be: --- --- --x
06c1: --- --- --x
06c2: --- --- --x
06c3: --- --- --x
06c5: --- --- --x
06c8: --- --- --x
06c9: --- --- --x
06ca: --- --- --x
06cb: --- --- --x
06cc: --- --- --x
06cd: --- --- --x
06d0: --- --- --x
06d5: --- --- --x
06d8: --- --- --x
06d9: --- --- --x
06dc: --- --- --x
06dd: --- --- --x
06de: --- --- --x
06e1: --- --- --x
06e4: --- --- --x
06e5: --- --- --x
06e8: --- --- --x
06ea: --- --- --x
06ed: --- --- --x
06ef: --- --- --x
06f2: --- --- --x
06f4: --- --- --x
06f7: --- --- --x
06f8: --- --- --x
06fb: --- --- --x
06fe: --- --- --x
0700: --- --- --x
0703: --- --- --x
0705: --- --- --x
0708: --- --- --x
070b: --- --- --x
0711: --- --- --x
0714: --- --- --x
0717: --- --- --x
0719: --- --- --x
071c: --- --- --x
071e: --- --- --x
0720: --- --- --x
0723: --- --- --x
0724: --- --- --x
0727: --- --- --x
0728: --- --- --x
072b: --- --- --x
072e: --- --- --x
0731: --- --- --x
0733: --- --- --x
0736: --- --- --x
0737: --- --- --x
073a: --- --- --x
07a6: --- --- --x
07a7: --- --- --x
07a8: --- --- --x
07a9: --- --- --x
07aa: --- --- --x
07ad: --- --- --x
07ae: --- --- --x
07b0: --- --- --x
07b3: --- --- --x
07b4: --- --- --x
07b7: --- --- --x
07c8: --- --- --x
07cb: --- --- --x
07cd: --- --- --x
07d0: --- --- --x
07d2: --- --- --x
07d5: --- --- --x
07d8: --- --- --x
07db: --- --- --x
07de: --- --- --x
0812: --- --- --x
0813: --- --- --x
0815: --- --- --x
0816: --- --- --x
0819: --- --- --x
081a: --- --- --x
081b: --- --- --x
081e: --- --- --x
081f: --- --- --x
0822: --- --- --x
0823: --- --- --x
0826: --- --- --x
0828: --- --- --x
0829: --- --- --x
082a: --- --- --x
082b: --- --- --x
082e: --- --- --x
082f: --- --- --x
0831: --- --- --x
083b: --- --- --x
083c: --- --- --x
083f: --- --- --x
0842: --- --- --x
0844: --- --- --x
0846: --- --- --x
0849: --- --- --x
084c: --- --- --x
084e: --- --- --x
0850: --- --- --x
0853: --- --- --x
0856: --- --- --x
0859: --- --- --x
085b: --- --- --x
085d: --- --- --x
0860: --- --- --x
0863: --- --- --x
0865: --- --- --x
0868: --- --- --x
086b: --- --- --x
086e: --- --- --x
0871: --- --- --x
0874: --- --- --x
0877: --- --- --x
087a: --- --- --x
087d: --- --- --x
087f: --- --- --x
0881: --- --- --x
0884: --- --- --x
0887: --- --- --x
0889: --- --- --x
088b: --- --- --x
088c: --- --- --x
088f: --- --- --x
0892: --- --- --x
0895: --- --- --x
0898: --- --- --x
089b: --- --- --x
089e: --- --- --x
089f: --- --- --x
08a2: --- --- --x
08a5: --- --- --x
08a8: --- --- --x
08ab: --- --- --x
08ae: --- --- --x
08b1: --- --- --x
08b4: --- --- --x
08b7: --- --- --x
08ba: --- --- --x
08bd: --- --- --x
08be: --- --- --x
08c1: --- --- --x
08c2: --- --- --x
08c3: --- --- --x
08c5: --- --- --x
08c7: --- --- --x
08c9: --- --- --x
08cb: --- --- --x
08cd: --- --- --x
08ce: --- --- --x
08d0: --- --- --x
08d2: --- --- --x
08d4: --- --- --x
08d7: --- --- --x
08da: --- --- --x
08dd: --- --- --x
08e2: --- --- --x
08e5: --- --- --x
08ea: --- --- --x
08ed: --- --- --x
08ee: --- --- --x
08f1: --- --- --x
08f2: --- --- --x
08f5: --- --- --x
08f6: --- --- --x
08f9: --- --- --x
08fc: --- --- --x
08fd: --- --- --x
0900: --- --- --x
0901: --- --- --x
0902: --- --- --x
0905: --- --- --x
0908: --- --- --x
090b: --- --- --x
090e: --- --- --x
0910: --- --- --x
0913: --- --- --x
0915: --- --- --x
0918: --- --- --x
091a: --- --- --x
091c: --- --- --x
091e: --- --- --x
091f: --- --- --x
0920: --- --- --x
0923: --- --- --x
0925: --- --- --x
0927: --- --- --x
092a: --- --- --x
092c: --- --- --x
092d: --- --- --x
092e: --- --- --x
0931: --- --- --x
0934: --- --- --x
093d: --- --- --x
0940: --- --- --x
0942: --- --- --x
0945: --- --- --x
0947: --- --- --x
094a: --- --- --x
094d: --- --- --x
094e: --- --- --x
0950: --- --- --x
0951: --- --- --x
0954: --- --- --x
0957: --- --- --x
0958: --- --- --x
095b: --- --- --x
0a17: --- --- --x
0a1a: --- --- --x
a000: --- --- --x
a002: --- --- --x
a005: --- --x ---
a007: --- --x ---
a009: --- --x ---
a00b: --- --x ---
a00e: --- --x ---
a010: --- --x ---
a013: --- --x ---
a015: --- --x ---
a018: --- --x ---
a01b: --- --x ---
a01e: --- --x ---
a021: --- --- --x
a022: --- --- --x
a023: --- --- --x
a024: --- --- --x
a025: --- --- --x
a028: --- --- --x
a029: --- --- --x
a02c: --- --- --x
a02e: --- --- --x
a02f: --- --- --x
a031: --- --- --x
a033: --- --x ---
a035: --- --x ---
a037: --- --x ---
a039: --- --x ---
a03c: --- --x ---
a03f: --- --x ---
a041: --- --x ---
a044: --- --x ---
a047: --- --x ---
a04a: --- --x ---
a04d: --- --x ---
a050: --- --x ---
a053: --- --x ---
a056: --- --x ---
a058: --- --x ---
a05b: --- --x ---
a05d: --- --x ---
a060: --- --x ---
a062: --- --x ---
a065: --- --x ---
a067: --- --x ---
a06a: --- --x ---
a06c: --- --x ---
a06f: --- --x ---
a071: --- --x ---
a074: --- --x ---
a076: --- --x ---
a078: --- --x ---
a07b: --- --x ---
a07e: --- --x ---
a081: --- --x ---
a084: --- --x ---
a087: --- --x ---
a08a: --- --x ---
a08d: --- --x ---
a090: --- --x ---
a093: --- --x ---
a096: --- --x ---
a099: --- --x ---
a09b: --- --x ---
a09d: --- --x ---
a09e: --- --x ---
a0a0: --- --x ---
a0a1: --- --x ---

